TreeDepth,Index,Address,Module,Symbol
0,169,0xf80733162ce0,ntoskrnl1,xHalGetProcessorId
0,169,0xf80733162ce0,ntoskrnl1,xHalQueryBusSlots
0,169,0xf80733162ce0,ntoskrnl1,xHalRegisterBusHandler
0,169,0xf80733162ce0,ntoskrnl1,xHalStartMirroring
0,170,0xf80733098310,ntoskrnl1,NtCreateKeyTransacted
0,171,0xf807331e55b0,ntoskrnl1,NtCreateKeyedEvent
0,172,0xf8073308ef10,ntoskrnl1,NtCreateLowBoxToken
0,173,0xf80733022f10,ntoskrnl1,NtCreateMailslotFile
0,174,0xf807330f23d0,ntoskrnl1,NtCreateMutant
0,175,0xf807330cd8e0,ntoskrnl1,NtCreateNamedPipeFile
0,176,0xf807331bdac0,ntoskrnl1,NtCreatePagingFile
0,177,0xf8073332e1c0,ntoskrnl1,NtCreatePartition
0,178,0xf8073316acc0,ntoskrnl1,NtCreatePort
0,179,0xf8073308e650,ntoskrnl1,NtCreatePrivateNamespace
0,180,0xf80733327790,ntoskrnl1,NtCreateProcess
0,181,0xf8073337af50,ntoskrnl1,NtCreateProfile
0,182,0xf8073337b030,ntoskrnl1,NtCreateProfileEx
0,183,0xf807330dcba0,ntoskrnl1,NtCreateRegistryTransaction
0,184,0xf80732c357e0,ntoskrnl1,NtCreateResourceManager
0,185,0xf807332ef910,ntoskrnl1,NtCreateSectionEx
0,186,0xf80733052d30,ntoskrnl1,NtCreateSemaphore
0,187,0xf807330cc110,ntoskrnl1,NtCreateSymbolicLinkObject
0,188,0xf80733053af0,ntoskrnl1,NtCreateThreadEx
0,189,0xf807330551b0,ntoskrnl1,NtCreateTimer
0,190,0xf80733097600,ntoskrnl1,NtCreateTimer2
0,191,0xf807333429d0,ntoskrnl1,NtCreateToken
0,192,0xf8073302a040,ntoskrnl1,NtCreateTokenEx
0,193,0xf80732c35800,ntoskrnl1,NtCreateTransaction
0,194,0xf80732c35820,ntoskrnl1,NtCreateTransactionManager
0,195,0xf80733127f20,ntoskrnl1,NtCreateUserProcess
0,196,0xf807330b9d20,ntoskrnl1,NtCreateWaitCompletionPacket
0,197,0xf807331ae2b0,ntoskrnl1,NtCreateWaitablePort
0,198,0xf80733126e80,ntoskrnl1,NtCreateWnfStateName
0,199,0xf807330972a0,ntoskrnl1,NtCreateWorkerFactory
0,200,0xf807332b1180,ntoskrnl1,NtDebugActiveProcess
0,201,0xf807332b1380,ntoskrnl1,NtDebugContinue
0,202,0xf80733026540,ntoskrnl1,NtDeleteAtom
0,203,0xf807333743a0,ntoskrnl1,NtDeleteBootEntry
0,204,0xf80733374530,ntoskrnl1,NtDeleteDriverEntry
0,205,0xf8073319ead0,ntoskrnl1,NtDeleteFile
0,206,0xf8073313f5e0,ntoskrnl1,NtDeleteKey
0,207,0xf807331969e0,ntoskrnl1,NtDeleteObjectAuditAlarm
0,208,0xf807331967b0,ntoskrnl1,NtDeletePrivateNamespace
0,209,0xf8073313c050,ntoskrnl1,NtDeleteValueKey
0,210,0xf807331ecfb0,ntoskrnl1,NtDeleteWnfStateData
0,211,0xf8073315d590,ntoskrnl1,NtDeleteWnfStateName
0,212,0xf807331964f0,ntoskrnl1,NtDisableLastKnownGood
0,213,0xf8073336e810,ntoskrnl1,NtDisplayString
0,214,0xf80732db8a70,ntoskrnl1,NtDrawText
0,215,0xf807331954b0,ntoskrnl1,NtEnableLastKnownGood
0,216,0xf807333746c0,ntoskrnl1,NtEnumerateBootEntries
0,217,0xf80733374d10,ntoskrnl1,NtEnumerateDriverEntries
0,218,0xf807333751c0,ntoskrnl1,NtEnumerateSystemEnvironmentValuesEx
0,219,0xf80732c35840,ntoskrnl1,NtEnumerateTransactionObject
0,220,0xf807330e30c0,ntoskrnl1,NtExtendSection
0,221,0xf80733343d10,ntoskrnl1,NtFilterBootOption
0,222,0xf807330dbf60,ntoskrnl1,NtFilterToken
0,223,0xf807330e3790,ntoskrnl1,?GetPnpProperty@NT_DISK@@UEAAJPEAXPEAPEAX@Z
0,223,0xf807330e3790,ntoskrnl1,?ScAnsiToUnicodeString@@YAJPEADPEAU_UNICODE_STRING@@@Z
0,223,0xf807330e3790,ntoskrnl1,NtAdjustTokenClaimsAndDeviceGroups
0,223,0xf807330e3790,ntoskrnl1,NtCreateEventPair
0,223,0xf807330e3790,ntoskrnl1,NtFilterTokenEx
0,223,0xf807330e3790,ntoskrnl1,NtOpenEventPair
0,223,0xf807330e3790,ntoskrnl1,NtSetHighEventPair
0,223,0xf807330e3790,ntoskrnl1,NtSetHighWaitLowEventPair
0,223,0xf807330e3790,ntoskrnl1,NtSetLowEventPair
0,223,0xf807330e3790,ntoskrnl1,NtSetLowWaitHighEventPair
0,223,0xf807330e3790,ntoskrnl1,NtVdmControl
0,223,0xf807330e3790,ntoskrnl1,NtWaitHighEventPair
0,223,0xf807330e3790,ntoskrnl1,NtWaitLowEventPair
0,223,0xf807330e3790,ntoskrnl1,SeAdjustObjectSecurity
0,223,0xf807330e3790,ntoskrnl1,xHalIommuMapDevice
0,223,0xf807330e3790,ntoskrnl1,xHalLoadMicrocode
0,223,0xf807330e3790,ntoskrnl1,xHalPostMicrocodeUpdate
0,223,0xf807330e3790,ntoskrnl1,xHalUnloadMicrocode
0,224,0xf807330bed90,ntoskrnl1,NtFlushBuffersFileEx
0,225,0xf807331f01c0,ntoskrnl1,NtFlushInstallUILanguage
0,226,0xf807330ddae0,ntoskrnl1,ArbPreprocessEntry
0,226,0xf807330ddae0,ntoskrnl1,ArbQueryArbitrate
0,226,0xf807330ddae0,ntoskrnl1,EmFalseCallback
0,226,0xf807330ddae0,ntoskrnl1,FsRtlSyncVolumes
0,226,0xf807330ddae0,ntoskrnl1,IopPnPAddDevice
0,226,0xf807330ddae0,ntoskrnl1,NtCompleteConnectPort
0,226,0xf807330ddae0,ntoskrnl1,NtFlushInstructionCache
0,226,0xf807330ddae0,ntoskrnl1,PopPowerAggregatorValidateActiveCallback
0,226,0xf807330ddae0,ntoskrnl1,PopPowerAggregatorValidateModernStandbyCallback
0,226,0xf807330ddae0,ntoskrnl1,TtmpCalloutLiveDumpSecondaryCallback
0,226,0xf807330ddae0,ntoskrnl1,xHalAcpiGetMultiNode
0,226,0xf807330ddae0,ntoskrnl1,xHalAddInterruptRemapping
0,226,0xf807330ddae0,ntoskrnl1,xHalGetInterruptTranslator
0,226,0xf807330ddae0,ntoskrnl1,xHalPowerSetRebootHandler
0,226,0xf807330ddae0,ntoskrnl1,xHalTimerQueryCycleCounter
0,227,0xf807330d4aa0,ntoskrnl1,NtFlushKey
0,228,0xf80732b9a9b0,ntoskrnl1,NtFlushProcessWriteBuffers
0,229,0xf807330b76d0,ntoskrnl1,NtFlushVirtualMemory
0,230,0xf807332fc6e0,ntoskrnl1,NtFlushWriteBuffer
0,231,0xf807332f1f60,ntoskrnl1,NtFreeUserPhysicalPages
0,232,0xf8073328a400,ntoskrnl1,NtFreezeRegistry
0,233,0xf80732c35860,ntoskrnl1,NtFreezeTransactions
0,234,0xf807330c7a20,ntoskrnl1,NtGetCachedSigningLevel
0,235,0xf8073315e7d0,ntoskrnl1,NtGetCompleteWnfStateSubscription
0,236,0xf807330da420,ntoskrnl1,NtGetContextThread
0,237,0xf80733329740,ntoskrnl1,NtGetCurrentProcessorNumber
0,238,0xf80733329790,ntoskrnl1,NtGetCurrentProcessorNumberEx
0,239,0xf80733310780,ntoskrnl1,NtGetDevicePowerState
0,240,0xf807330ac0a0,ntoskrnl1,NtGetMUIRegistryInfo
0,241,0xf807331a8c00,ntoskrnl1,NtGetNextProcess
0,242,0xf8073332fa50,ntoskrnl1,NtGetNextThread
0,243,0xf807330cda30,ntoskrnl1,NtGetNlsSectionPtr
0,244,0xf80732c35880,ntoskrnl1,NtGetNotificationResourceManager
0,245,0xf80732b2ac50,ntoskrnl1,NtGetWriteWatch
0,246,0xf80733147f20,ntoskrnl1,NtImpersonateAnonymousToken
0,247,0xf807330b69a0,ntoskrnl1,NtImpersonateThread
0,248,0xf807332fbd10,ntoskrnl1,NtInitializeEnclave
0,249,0xf8073311e9b0,ntoskrnl1,NtInitializeNlsFiles
0,250,0xf807331ad700,ntoskrnl1,NtInitializeRegistry
0,251,0xf8073316cf50,ntoskrnl1,NtInitiatePowerAction
0,252,0xf807331718a0,ntoskrnl1,NtIsSystemResumeAutomatic
0,253,0xf807330e3980,ntoskrnl1,NtIsUILanguageComitted
0,254,0xf807331f1e10,ntoskrnl1,NtListenPort
0,255,0xf80733161310,ntoskrnl1,NtLoadDriver
0,256,0xf807332fbfe0,ntoskrnl1,NtLoadEnclaveData
0,257,0xf8073319f130,ntoskrnl1,NtLoadKey
0,258,0xf8073319ef80,ntoskrnl1,NtLoadKey2
0,259,0xf8073313eb10,ntoskrnl1,NtLoadKeyEx
0,260,0xf80733100790,ntoskrnl1,NtLockFile
0,261,0xf807330d1300,ntoskrnl1,NtLockProductActivationKeys
0,262,0xf807330af020,ntoskrnl1,NtLockRegistryKey
0,263,0xf80732ba9940,ntoskrnl1,NtLockVirtualMemory
0,264,0xf807331658a0,ntoskrnl1,NtMakePermanentObject
0,265,0xf80733162ae0,ntoskrnl1,NtMakeTemporaryObject
0,266,0xf807332f9480,ntoskrnl1,NtManageHotPatch
0,267,0xf8073310c490,ntoskrnl1,NtManagePartition
0,268,0xf80733196200,ntoskrnl1,NtMapCMFModule
0,269,0xf807332f2410,ntoskrnl1,NtMapUserPhysicalPages
0,270,0xf807330df7d0,ntoskrnl1,NtMapViewOfSectionEx
